Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
1.816,-0.583008,0.390625,4.780762,2.799335045,1.82867203,-60.04434655,100086.9995,0.024268,0.159769,0.624887,1
1.826,-0.593262,0.375977,4.751953,4.201774045,3.10916003,-60.41019955,100090.9973,0.023725,0.157483,0.623759,1
1.836,-0.566895,0.340332,4.744141,5.360310045,4.02379403,-60.65410355,100078.0029,0.040562,0.149958,0.615864,1
1.846,-0.54248,0.305176,4.737793,6.701774045,5.60916003,-61.20288555,100065.9973,0.022137,0.158414,0.619671,1
1.856,-0.513184,0.291504,4.679688,7.311530045,6.21891603,-61.26385955,100040.9973,0.02204,0.155525,0.627295,1
1.866,-0.535156,0.282227,4.656738,8.348115045,7.62135503,-61.26385955,100028.9978,0.021576,0.154552,0.627714,1
1.876,-0.512695,0.260254,4.635254,8.957871045,7.98720903,-61.44678555,100016.9983,0.019776,0.160123,0.627218,1
1.886,-0.495117,0.248535,4.619629,9.567628045,8.90184303,-61.32483355,100009.0027,0.030612,0.155981,0.614006,1
1.896,-0.43457,0.225586,4.595215,10.05543205,9.20672103,-61.26385955,99991.9983,0.021766,0.152335,0.622347,1
1.906,-0.427246,0.202637,4.560547,11.09201805,10.91403803,-61.20288555,99979.9988,0.018095,0.15766,0.629582,1
1.916,-0.401855,0.178223,4.53418,11.21396905,11.03598903,-61.14190755,99967.9993,0.015191,0.158085,0.623807,1
1.926,-0.38623,0.143555,4.520508,11.82372605,11.64574603,-61.20288555,99954.9988,0.018094,0.154173,0.630428,1
1.936,-0.341797,0.118652,4.498535,12.12860305,12.01159903,-61.14190755,99959.0027,0.033091,0.151765,0.618092,1
1.946,-0.311035,0.092773,4.47168,12.55543205,12.98720903,-61.01995555,99902.002,0.016559,0.158758,0.621923,1
1.956,-0.301758,0.0625,4.45459,12.73835905,13.53598903,-60.89800755,99894.0002,0.018527,0.151714,0.629068,1
1.966,-0.287109,0.018555,4.436523,12.79933505,13.53598903,-60.59312955,99894.0002,0.018828,0.15426,0.630194,1
1.976,-0.257324,0.000977,4.413086,12.92128605,13.77989203,-60.22727255,99869.0002,0.014258,0.158333,0.627059,1
1.986,-0.227539,-0.018555,4.390137,12.86031005,14.20672203,-59.86142055,99857.0007,0.036595,0.146044,0.617506,1
1.996,-0.197754,-0.048828,4.368652,12.67738305,14.38964803,-59.61751655,99865.0024,0.020094,0.1515,0.62632,1
